gene,drift_velocity,abs_drift
MT1E,-0.020945692,0.020945692
PKM,-0.020897796,0.020897796
CLDND1,-0.020660214,0.020660214
KLF6,0.020453874,0.020453874
EEF1G,-0.020450393,0.020450393
DUSP1,-0.020361887,0.020361887
CD59,-0.020092232,0.020092232
NR3C1,-0.019925306,0.019925306
PARP14,-0.019821055,0.019821055
TUBB4B,-0.019679202,0.019679202
SESN1,-0.019652408,0.019652408
ITGB2-AS1,0.019129153,0.019129153
SLF1,-0.019064726,0.019064726
PTGDR,0.019041311,0.019041311
CKS2,-0.019013166,0.019013166
FOXP3,-0.01888286,0.01888286
BEX3,-0.018703364,0.018703364
CD38,-0.01858043,0.01858043
IFI35,-0.01843179,0.01843179
SOX4,-0.018280217,0.018280217
CD84,-0.018225122,0.018225122
PLSCR1,-0.018136274,0.018136274
ZBP1,-0.017948722,0.017948722
GSTP1,0.017851338,0.017851338
RHOB,-0.01773557,0.01773557
ITM2A,-0.017671358,0.017671358
CORO1B,0.017630143,0.017630143
CAPG,-0.017485062,0.017485062
JUND,0.017454263,0.017454263
KLRD1,-0.017220719,0.017220719
NBEAL1,-0.017216664,0.017216664
DDX60,-0.017069647,0.017069647
AKAP9,-0.01700439,0.01700439
SRGAP3,-0.016920514,0.016920514
AOAH,0.01665421,0.01665421
TOX,-0.016531724,0.016531724
TNFSF14,0.016469715,0.016469715
SLC7A5,-0.01631789,0.01631789
TCF7,0.016150404,0.016150404
RSAD2,-0.016144367,0.016144367
ETV7,-0.016085068,0.016085068
RILPL2,0.016064582,0.016064582
GPR155,-0.016044227,0.016044227
IL2RA,-0.01602892,0.01602892
NABP1,-0.015943943,0.015943943
MAF,-0.015931137,0.015931137
LINC02099,-0.01560993,0.01560993
DDX17,0.01549474,0.01549474
MARCKSL1,0.015488066,0.015488066
IFIT3,-0.015463487,0.015463487
PPP1R14B,0.015459553,0.015459553
ZFP36,0.015394899,0.015394899
IGKV4-1,0.015357183,0.015357183
TIMP1,-0.015331269,0.015331269
CEBPD,-0.015230109,0.015230109
IFITM1,0.015173699,0.015173699
RPL41,0.014917774,0.014917774
MUCL1,0.014741568,0.014741568
MYADM,0.014713337,0.014713337
PDE4B,-0.014704002,0.014704002
FAM3C,-0.014691467,0.014691467
OAS3,-0.014632994,0.014632994
TNFRSF4,0.014617129,0.014617129
FASLG,0.014349154,0.014349154
GADD45B,0.014233955,0.014233955
