gene,drift_velocity,abs_drift
PMP2,-3.7226837e-05,3.7226837e-05
IL22RA2,-3.706364e-05,3.706364e-05
MYEOV,3.673725e-05,3.673725e-05
XDH,3.670098e-05,3.670098e-05
SOX18,3.6537785e-05,3.6537785e-05
NFASC,3.6428988e-05,3.6428988e-05
ARMCX1,3.6283927e-05,3.6283927e-05
HOXC11,3.5631143e-05,3.5631143e-05
KCNJ6,-3.530475e-05,3.530475e-05
LYPD2,-3.5105288e-05,3.5105288e-05
KCNMB1,3.5032757e-05,3.5032757e-05
NPFFR1,3.499649e-05,3.499649e-05
TP53TG5,-3.46157e-05,3.46157e-05
PNMA8A,3.410798e-05,3.410798e-05
RASSF8,-3.3999182e-05,3.3999182e-05
NYNRIN,3.3781587e-05,3.3781587e-05
CLDN8,3.3473327e-05,3.3473327e-05
STMN2,-3.3455195e-05,3.3455195e-05
TRPM8,-3.343706e-05,3.343706e-05
HOXD9,-3.3110668e-05,3.3110668e-05
PID1,-3.305627e-05,3.305627e-05
CCDC160,3.2965607e-05,3.2965607e-05
NR2F2,-3.2838674e-05,3.2838674e-05
TNFRSF19,-3.2729877e-05,3.2729877e-05
NT5DC3,-3.2312822e-05,3.2312822e-05
IGLVI-70,-3.2276555e-05,3.2276555e-05
APLN,-3.218589e-05,3.218589e-05
LPAR4,3.211336e-05,3.211336e-05
ERICH5,-3.2095228e-05,3.2095228e-05
JPH4,-3.2004562e-05,3.2004562e-05
LINC02154,-3.1895765e-05,3.1895765e-05
MSLN,-3.173257e-05,3.173257e-05
ZNF385D,3.160564e-05,3.160564e-05
KAZN,-3.1514974e-05,3.1514974e-05
ANKRD18B,-3.1514974e-05,3.1514974e-05
KIF17,3.1406176e-05,3.1406176e-05
LMOD1,3.1406176e-05,3.1406176e-05
OR2B11,3.1388045e-05,3.1388045e-05
EMILIN3,-3.122485e-05,3.122485e-05
TFPI2,3.1079784e-05,3.1079784e-05
IGFBP7-AS1,-3.1061652e-05,3.1061652e-05
KCNMA1,-3.0952855e-05,3.0952855e-05
CCL7,-3.088032e-05,3.088032e-05
C17orf50,3.078966e-05,3.078966e-05
SIGLEC6,3.0626463e-05,3.0626463e-05
ADAM11,-3.0445133e-05,3.0445133e-05
SOSTDC1,-3.0427e-05,3.0427e-05
PPP1R9A,3.0318202e-05,3.0318202e-05
PROX1,-3.0245672e-05,3.0245672e-05
SORCS1,3.0064342e-05,3.0064342e-05
PEAR1,2.999181e-05,2.999181e-05
OVOL3,-2.999181e-05,2.999181e-05
CHRM3,2.9955545e-05,2.9955545e-05
MCF2,-2.9792349e-05,2.9792349e-05
MYOCD,2.973795e-05,2.973795e-05
WFDC1,2.973795e-05,2.973795e-05
KIAA0408,2.9719817e-05,2.9719817e-05
AOC3,-2.9701685e-05,2.9701685e-05
COLCA1,2.961102e-05,2.961102e-05
SV2B,-2.955662e-05,2.955662e-05
WTIP,-2.9393424e-05,2.9393424e-05
ITIH3,-2.9248362e-05,2.9248362e-05
IL17B,-2.9230228e-05,2.9230228e-05
PCP2,-2.917583e-05,2.917583e-05
KERA,-2.9012634e-05,2.9012634e-05
ADAMTS5,2.9012634e-05,2.9012634e-05
