gene,drift_velocity,abs_drift
ZNF503-AS2,6.322941e-05,6.322941e-05
GPRC5B,6.310248e-05,6.310248e-05
ZNF716,-6.3011816e-05,6.3011816e-05
SOSTDC1,6.293928e-05,6.293928e-05
PCOLCE-AS1,6.292115e-05,6.292115e-05
SALL1,6.275796e-05,6.275796e-05
CLEC10A,6.2703555e-05,6.2703555e-05
SMIM10L2A,6.2522224e-05,6.2522224e-05
SRPX,6.246783e-05,6.246783e-05
KCNA2,-6.24497e-05,6.24497e-05
LINC01709,-6.2268366e-05,6.2268366e-05
SLC38A3,-6.2123305e-05,6.2123305e-05
NPIPB6,6.2087034e-05,6.2087034e-05
PTGS2,-6.205077e-05,6.205077e-05
DGKI,6.205077e-05,6.205077e-05
ZNF385B,6.192384e-05,6.192384e-05
WDFY4,6.1833176e-05,6.1833176e-05
NAV1,6.159745e-05,6.159745e-05
STAC3,-6.157932e-05,6.157932e-05
NR2F1,6.147052e-05,6.147052e-05
LINC02288,6.1379855e-05,6.1379855e-05
CCL7,-6.132545e-05,6.132545e-05
CDH26,-6.1216655e-05,6.1216655e-05
SP2-AS1,6.118039e-05,6.118039e-05
PLAC8L1,6.110786e-05,6.110786e-05
NLRP12,6.1089726e-05,6.1089726e-05
FBLIM1,6.1089726e-05,6.1089726e-05
VNN1,6.0962797e-05,6.0962797e-05
PPP1R14C,-6.0962797e-05,6.0962797e-05
COLCA1,6.0908398e-05,6.0908398e-05
FLNC,-6.0854e-05,6.0854e-05
CST1,-6.0745202e-05,6.0745202e-05
KLK11,6.0618273e-05,6.0618273e-05
ITIH3,-6.0618273e-05,6.0618273e-05
AATBC,6.047321e-05,6.047321e-05
MRGPRF,6.034628e-05,6.034628e-05
COL4A3,-6.0328148e-05,6.0328148e-05
ARMCX1,6.0255614e-05,6.0255614e-05
ACSM5,6.0019887e-05,6.0019887e-05
WNT2,-6.0001756e-05,6.0001756e-05
RSPH1,5.985669e-05,5.985669e-05
PLIN4,5.9820424e-05,5.9820424e-05
SHPK,-5.94759e-05,5.94759e-05
ART3,5.9330836e-05,5.9330836e-05
APOC4-APOC2,5.9240174e-05,5.9240174e-05
MSRB3,-5.911324e-05,5.911324e-05
CARD14,5.909511e-05,5.909511e-05
RHBDF1,-5.8950045e-05,5.8950045e-05
TBX2,-5.8823116e-05,5.8823116e-05
FOXD2,5.871432e-05,5.871432e-05
RHBDL1,5.8514855e-05,5.8514855e-05
LHFPL2,5.8460457e-05,5.8460457e-05
AFAP1L1,5.8442325e-05,5.8442325e-05
LINC01615,-5.8442325e-05,5.8442325e-05
GUCY2C,-5.8242862e-05,5.8242862e-05
PLEKHS1,-5.8007136e-05,5.8007136e-05
FPGT-TNNI3K,5.7952737e-05,5.7952737e-05
LOXL4,-5.7952737e-05,5.7952737e-05
SHISA9,5.7753274e-05,5.7753274e-05
SLC51A,-5.7499416e-05,5.7499416e-05
CCL11,5.7227422e-05,5.7227422e-05
MSH5-SAPCD1,5.7191155e-05,5.7191155e-05
TLR10,-5.7136756e-05,5.7136756e-05
ACOT6,-5.7064226e-05,5.7064226e-05
C8G,-5.702796e-05,5.702796e-05
FNDC1,5.7009827e-05,5.7009827e-05
ANGPTL4,5.691916e-05,5.691916e-05
MIR181A2HG,-5.6755965e-05,5.6755965e-05
PRTFDC1,5.66109e-05,5.66109e-05
KCNK7,-5.6447705e-05,5.6447705e-05
IGHV1OR15-3,5.641144e-05,5.641144e-05
LINC01213,-5.6338908e-05,5.6338908e-05
SNCAIP,-5.615758e-05,5.615758e-05
ICAM4,-5.615758e-05,5.615758e-05
PAX1,-5.6012515e-05,5.6012515e-05
TRBV20OR9-2,5.5958117e-05,5.5958117e-05
UPK2,5.5613593e-05,5.5613593e-05
ZBED3-AS1,5.5541062e-05,5.5541062e-05
HBQ1,-5.5504795e-05,5.5504795e-05
B4GALNT1,-5.53416e-05,5.53416e-05
FAM149A,5.4888278e-05,5.4888278e-05
IGSF10,5.470695e-05,5.470695e-05
BHMT2,5.4580018e-05,5.4580018e-05
AUNIP,-5.4362423e-05,5.4362423e-05
CCDC178,5.4181095e-05,5.4181095e-05
ARHGEF16,-5.4162963e-05,5.4162963e-05
ADGRG2,5.4054166e-05,5.4054166e-05
S100A12,-5.403603e-05,5.403603e-05
RSPO3,-5.3854703e-05,5.3854703e-05
PAX6,5.383657e-05,5.383657e-05
PTOV1-AS1,5.383657e-05,5.383657e-05
EYA2,-5.3618976e-05,5.3618976e-05
RAP1GAP,5.3492044e-05,5.3492044e-05
PRR19,-5.2929925e-05,5.2929925e-05
FCER2,-5.2911793e-05,5.2911793e-05
IGHV7-4-1,-5.283926e-05,5.283926e-05
CCDC17,5.2059546e-05,5.2059546e-05
MAP1LC3C,5.195075e-05,5.195075e-05
SYTL2,-5.189635e-05,5.189635e-05
DCST1-AS1,5.189635e-05,5.189635e-05
TRIM36,-5.1678755e-05,5.1678755e-05
TBC1D30,5.1606225e-05,5.1606225e-05
NEBL-AS1,5.1189167e-05,5.1189167e-05
THSD7A,5.0971572e-05,5.0971572e-05
PTPRB,-5.0917173e-05,5.0917173e-05
PAGE2,5.0844643e-05,5.0844643e-05
KLK4,-5.0826508e-05,5.0826508e-05
B3GNT3,5.077211e-05,5.077211e-05
CNTN3,-5.066331e-05,5.066331e-05
CDHR1,-5.033692e-05,5.033692e-05
UFL1-AS1,5.008306e-05,5.008306e-05
OSR1,4.9974264e-05,4.9974264e-05
CAMK2B,4.995613e-05,4.995613e-05
ALG1L2,4.98292e-05,4.98292e-05
KIAA0408,-4.9738534e-05,4.9738534e-05
LIPH,4.9502807e-05,4.9502807e-05
KRT5,-4.9375878e-05,4.9375878e-05
RHPN2,4.9230814e-05,4.9230814e-05
GEMIN7-AS1,4.9194547e-05,4.9194547e-05
IGLC7,-4.9194547e-05,4.9194547e-05
ALDH1L2,4.8559898e-05,4.8559898e-05
CD180,4.8469232e-05,4.8469232e-05
NUTM2A,-4.8034042e-05,4.8034042e-05
AP3B2,-4.7997775e-05,4.7997775e-05
GPR153,4.770765e-05,4.770765e-05
MEG3,-4.763512e-05,4.763512e-05
GNAT3,4.7598853e-05,4.7598853e-05
FAM107A,-4.734499e-05,4.734499e-05
MMRN2,4.7308728e-05,4.7308728e-05
PTN,-4.7091133e-05,4.7091133e-05
TIFAB,-4.681914e-05,4.681914e-05
CLCA2,4.6655943e-05,4.6655943e-05
JADE3,4.6619676e-05,4.6619676e-05
ARG1,4.640208e-05,4.640208e-05
LCN10,4.625702e-05,4.625702e-05
ZMYND15,-4.6202622e-05,4.6202622e-05
ACADL,-4.602129e-05,4.602129e-05
RHBDL2,4.593063e-05,4.593063e-05
LIFR,-4.5169047e-05,4.5169047e-05
LMOD1,4.5096513e-05,4.5096513e-05
IGKV3D-20,-4.5042114e-05,4.5042114e-05
IGIP,-4.4969584e-05,4.4969584e-05
ACRBP,4.4951452e-05,4.4951452e-05
ANKRD2,-4.4806387e-05,4.4806387e-05
PTGFR,-4.469759e-05,4.469759e-05
WNT5B,-4.464319e-05,4.464319e-05
CD1A,4.462506e-05,4.462506e-05
FAM177B,-4.4588793e-05,4.4588793e-05
SPRY4,4.4298667e-05,4.4298667e-05
INSR,4.42624e-05,4.42624e-05
MEFV,-4.4208e-05,4.4208e-05
AFDN-DT,4.400854e-05,4.400854e-05
RASSF10,-4.3863478e-05,4.3863478e-05
SYT6,-4.3645883e-05,4.3645883e-05
CC2D2A,-4.3537086e-05,4.3537086e-05
LAMC2,4.3410153e-05,4.3410153e-05
CCDC3,4.3210694e-05,4.3210694e-05
DOCK9-DT,-4.308376e-05,4.308376e-05
POTEJ,4.295683e-05,4.295683e-05
PRKCZ-AS1,4.29387e-05,4.29387e-05
KCTD16,-4.28843e-05,4.28843e-05
SNCB,4.275737e-05,4.275737e-05
LINC02532,-4.257604e-05,4.257604e-05
LYSMD1,-4.2394713e-05,4.2394713e-05
XKR4,4.2358446e-05,4.2358446e-05
PNOC,4.2340314e-05,4.2340314e-05
SLC23A1,4.219525e-05,4.219525e-05
KIF1A,-4.2050186e-05,4.2050186e-05
METTL24,-4.2032054e-05,4.2032054e-05
PLCD3,4.194139e-05,4.194139e-05
TBX20,-4.1868858e-05,4.1868858e-05
DNM3OS,4.1723793e-05,4.1723793e-05
CLEC1A,4.1542466e-05,4.1542466e-05
HOXC8,4.15062e-05,4.15062e-05
KRT7-AS,-4.137927e-05,4.137927e-05
KLF1,-4.1361138e-05,4.1361138e-05
CDH4,-4.1216073e-05,4.1216073e-05
ARHGEF11,-4.1179806e-05,4.1179806e-05
LINC02207,-4.1107276e-05,4.1107276e-05
SELP,-4.1052877e-05,4.1052877e-05
IL3RA,4.1034746e-05,4.1034746e-05
TRBV6-8,4.099848e-05,4.099848e-05
MAGEA3,4.0653955e-05,4.0653955e-05
GATA2,4.0545157e-05,4.0545157e-05
ASB9,-4.0527022e-05,4.0527022e-05
TAF1L,4.049076e-05,4.049076e-05
DNM3,4.0472623e-05,4.0472623e-05
ABLIM3,-4.045449e-05,4.045449e-05
CCDC170,4.038196e-05,4.038196e-05
LINC01506,4.0327563e-05,4.0327563e-05
PROS1,-4.025503e-05,4.025503e-05
REM1,4.020063e-05,4.020063e-05
IGKV1D-12,4.0109968e-05,4.0109968e-05
SEMA6D,4.0019302e-05,4.0019302e-05
ITGB1-DT,3.9892373e-05,3.9892373e-05
IGLV4-69,-3.9856106e-05,3.9856106e-05
TMTC1,-3.9729177e-05,3.9729177e-05
EFNB2,3.9656643e-05,3.9656643e-05
C2orf50,3.962038e-05,3.962038e-05
TNN,-3.962038e-05,3.962038e-05
CILP2,-3.8931328e-05,3.8931328e-05
PID1,-3.8786264e-05,3.8786264e-05
TRAV13-2,-3.8786264e-05,3.8786264e-05
PTPRD,-3.8677466e-05,3.8677466e-05
TLL1,3.8405473e-05,3.8405473e-05
TMEM178A,-3.836921e-05,3.836921e-05
LINC01597,-3.8042817e-05,3.8042817e-05
LINC01503,3.780709e-05,3.780709e-05
HAS2,3.7788956e-05,3.7788956e-05
TCL1A,-3.7716425e-05,3.7716425e-05
PLIN1,3.7662026e-05,3.7662026e-05
DCDC2,3.757136e-05,3.757136e-05
TNFRSF17,3.755323e-05,3.755323e-05
FIGN,3.755323e-05,3.755323e-05
TINCR,3.7516962e-05,3.7516962e-05
RBBP8NL,-3.74807e-05,3.74807e-05
LRRC36,-3.7353766e-05,3.7353766e-05
PGBD5,3.6972975e-05,3.6972975e-05
SOWAHA,3.6846046e-05,3.6846046e-05
INSRR,-3.6791647e-05,3.6791647e-05
IDH1-AS1,3.670098e-05,3.670098e-05
EXOC3L4,3.6646583e-05,3.6646583e-05
CGREF1,3.617513e-05,3.617513e-05
SCGN,-3.6156995e-05,3.6156995e-05
PTGES,-3.6102596e-05,3.6102596e-05
KRT17,-3.6048197e-05,3.6048197e-05
CSF3R,3.581247e-05,3.581247e-05
FUT1,-3.579434e-05,3.579434e-05
LINC02154,-3.5758072e-05,3.5758072e-05
LINC01117,-3.555861e-05,3.555861e-05
CLCN5,3.5395413e-05,3.5395413e-05
DGAT2,3.5341014e-05,3.5341014e-05
FBXL13,-3.5268484e-05,3.5268484e-05
GJC2,-3.4797027e-05,3.4797027e-05
IGF1,-3.46157e-05,3.46157e-05
MARK1,3.4597568e-05,3.4597568e-05
MYRIP,3.4579432e-05,3.4579432e-05
TRAV8-1,3.423491e-05,3.423491e-05
EGFLAM,-3.4089844e-05,3.4089844e-05
GXYLT2,3.4017314e-05,3.4017314e-05
PTAFR,3.3962915e-05,3.3962915e-05
PRX,-3.3962915e-05,3.3962915e-05
GNB3,-3.387225e-05,3.387225e-05
GALNT16,-3.3854118e-05,3.3854118e-05
SHC2,3.3854118e-05,3.3854118e-05
ENSG00000285517,3.361839e-05,3.361839e-05
GPBAR1,-3.343706e-05,3.343706e-05
OPRPN,-3.3418928e-05,3.3418928e-05
CLGN,-3.3400796e-05,3.3400796e-05
SPRY2,3.3219465e-05,3.3219465e-05
LINC00659,-3.298374e-05,3.298374e-05
TUSC1,-3.298374e-05,3.298374e-05
LPCAT2,3.2965607e-05,3.2965607e-05
SCN7A,3.2729877e-05,3.2729877e-05
FCRL2,3.2639215e-05,3.2639215e-05
PLSCR2,3.2204025e-05,3.2204025e-05
GALNT5,-3.213149e-05,3.213149e-05
THAP10,3.173257e-05,3.173257e-05
LIN7A,-3.1641903e-05,3.1641903e-05
PHGR1,3.1460575e-05,3.1460575e-05
THSD1,3.1424308e-05,3.1424308e-05
KAZALD1,-3.1406176e-05,3.1406176e-05
ZNF843,-3.1351778e-05,3.1351778e-05
OR2B11,3.1279247e-05,3.1279247e-05
PARM1,3.1261112e-05,3.1261112e-05
ALDH4A1,3.124298e-05,3.124298e-05
EPB41L4A-DT,-3.098912e-05,3.098912e-05
CALML6,-3.0970987e-05,3.0970987e-05
ARHGAP40,3.0916588e-05,3.0916588e-05
AGTR1,-3.0481398e-05,3.0481398e-05
DOK6,3.0427e-05,3.0427e-05
NPFFR1,-3.0245672e-05,3.0245672e-05
SLC30A2,-3.0209405e-05,3.0209405e-05
LINC01235,-3.017314e-05,3.017314e-05
KCNAB1,-3.017314e-05,3.017314e-05
LHX6,-2.9792349e-05,2.9792349e-05
DNAAF3,2.9719817e-05,2.9719817e-05
OTOF,-2.9230228e-05,2.9230228e-05
IGFN1,2.9193963e-05,2.9193963e-05
PCSK2,-2.9085166e-05,2.9085166e-05
CT45A1,2.8795039e-05,2.8795039e-05
PEG3,-2.8704375e-05,2.8704375e-05
IGLON5,-2.8649976e-05,2.8649976e-05
ST6GALNAC2,2.8577444e-05,2.8577444e-05
PLG,-2.8504914e-05,2.8504914e-05
HOXB6,-2.848678e-05,2.848678e-05
AMOTL1,2.8396116e-05,2.8396116e-05
BRINP3,2.8377983e-05,2.8377983e-05
NHSL1,2.8015325e-05,2.8015325e-05
LAMP5,-2.7997192e-05,2.7997192e-05
ANK2,2.7870261e-05,2.7870261e-05
L3MBTL4-AS1,2.7870261e-05,2.7870261e-05
CTNND2,-2.7707065e-05,2.7707065e-05
FHL5,2.7616401e-05,2.7616401e-05
PRICKLE2,2.7362541e-05,2.7362541e-05
ADAM33,-2.723561e-05,2.723561e-05
CITED1,2.698175e-05,2.698175e-05
KHDRBS3,-2.698175e-05,2.698175e-05
SIRPA,-2.6764155e-05,2.6764155e-05
EPHB2,-2.6582826e-05,2.6582826e-05
SLCO4A1-AS1,-2.6582826e-05,2.6582826e-05
LRP3,2.6582826e-05,2.6582826e-05
DNASE1L2,-2.6220168e-05,2.6220168e-05
