gene,drift_velocity,abs_drift
MS4A14,-8.2443985e-05,8.2443985e-05
SRPX,8.190243e-05,8.190243e-05
HTR3A,-8.190243e-05,8.190243e-05
C6orf163,8.185465e-05,8.185465e-05
GGT6,8.153608e-05,8.153608e-05
ST3GAL6,8.150422e-05,8.150422e-05
JPH4,8.123345e-05,8.123345e-05
FOXD2,8.102638e-05,8.102638e-05
APOA2,8.0962665e-05,8.0962665e-05
SCN4B,8.0755606e-05,8.0755606e-05
AADAT,8.0421116e-05,8.0421116e-05
IGF1,-8.040518e-05,8.040518e-05
PHACTR1,8.03574e-05,8.03574e-05
GFRA2,7.935393e-05,7.935393e-05
APLN,7.924243e-05,7.924243e-05
MCF2,7.898758e-05,7.898758e-05
USP31,-7.890794e-05,7.890794e-05
ZNF214,7.88283e-05,7.88283e-05
ZNF385B,7.862123e-05,7.862123e-05
ZBED3-AS1,7.8605306e-05,7.8605306e-05
MEIKIN,-7.857345e-05,7.857345e-05
GALNT12,7.83186e-05,7.83186e-05
DGKI,7.8175246e-05,7.8175246e-05
ANKRD2,-7.795225e-05,7.795225e-05
ZNF860,-7.7745186e-05,7.7745186e-05
BTK,-7.7745186e-05,7.7745186e-05
NRIP2,7.7697405e-05,7.7697405e-05
ARHGEF15,7.747441e-05,7.747441e-05
OMD,7.733105e-05,7.733105e-05
CLCA2,7.7123994e-05,7.7123994e-05
SCHLAP1,7.70125e-05,7.70125e-05
GFPT2,7.6741715e-05,7.6741715e-05
PEX5L,7.6550576e-05,7.6550576e-05
NDST1,7.623201e-05,7.623201e-05
CA13,7.604088e-05,7.604088e-05
TMEM88,-7.602495e-05,7.602495e-05
ELFN1,7.599309e-05,7.599309e-05
RASD1,-7.584974e-05,7.584974e-05
NDUFA4L2,7.559489e-05,7.559489e-05
IGF2BP3,7.534004e-05,7.534004e-05
MTUS2,7.519669e-05,7.519669e-05
TRAV8-6,7.5148906e-05,7.5148906e-05
TDRP,7.476663e-05,7.476663e-05
SOSTDC1,7.4686985e-05,7.4686985e-05
TUBB6,-7.4543634e-05,7.4543634e-05
C1orf210,7.432064e-05,7.432064e-05
CDH13,-7.403393e-05,7.403393e-05
NANOS1,7.403393e-05,7.403393e-05
LMO3,-7.379501e-05,7.379501e-05
KCNJ6,-7.379501e-05,7.379501e-05
CLEC4D,7.3763156e-05,7.3763156e-05
CBLC,7.363573e-05,7.363573e-05
SLC15A3,-7.360387e-05,7.360387e-05
PARVA,7.331717e-05,7.331717e-05
REM1,7.298268e-05,7.298268e-05
LINC02475,7.261633e-05,7.261633e-05
PCDH18,-7.24889e-05,7.24889e-05
IGSF10,7.2472976e-05,7.2472976e-05
FAM157C,-7.237741e-05,7.237741e-05
PCDHGC3,7.236148e-05,7.236148e-05
PI15,7.221813e-05,7.221813e-05
COX7A1,7.1899565e-05,7.1899565e-05
ST6GALNAC2,7.164472e-05,7.164472e-05
RASIP1,7.1565075e-05,7.1565075e-05
TRBV6-1,-7.148543e-05,7.148543e-05
VAX2,-7.086423e-05,7.086423e-05
HSPH1,-7.064124e-05,7.064124e-05
FRMPD3,6.995633e-05,6.995633e-05
ODAPH,-6.995633e-05,6.995633e-05
GALNT8,-6.962184e-05,6.962184e-05
MEOX2,6.952627e-05,6.952627e-05
PCLO,6.936699e-05,6.936699e-05
IGLV5-45,6.8984715e-05,6.8984715e-05
PTGES,-6.888915e-05,6.888915e-05
ADAMTSL1,6.876172e-05,6.876172e-05
TRPC3,-6.857059e-05,6.857059e-05
HUNK,-6.836352e-05,6.836352e-05
LTBP1,6.8347596e-05,6.8347596e-05
TNFSF15,-6.817238e-05,6.817238e-05
ALDH4A1,-6.814053e-05,6.814053e-05
PRICKLE2,-6.786975e-05,6.786975e-05
CPED1,6.766268e-05,6.766268e-05
INMT,-6.751933e-05,6.751933e-05
MSRB3,-6.743969e-05,6.743969e-05
SPATS2L,6.740783e-05,6.740783e-05
DENND5B,6.732819e-05,6.732819e-05
RAB26,-6.68822e-05,6.68822e-05
LY6D,-6.683442e-05,6.683442e-05
IGLV10-54,6.6707e-05,6.6707e-05
EVPL,6.65955e-05,6.65955e-05
LAMP5,-6.637251e-05,6.637251e-05
NKX3-1,6.635657e-05,6.635657e-05
C8G,-6.606987e-05,6.606987e-05
NEXN-AS1,-6.6053944e-05,6.6053944e-05
SERPINA3,6.602208e-05,6.602208e-05
FCRLA,-6.6006156e-05,6.6006156e-05
MED12L,-6.599023e-05,6.599023e-05
TAS2R4,-6.589466e-05,6.589466e-05
IQUB,6.5862805e-05,6.5862805e-05
LINC01139,-6.583095e-05,6.583095e-05
LRRIQ1,-6.570352e-05,6.570352e-05
PNOC,6.563981e-05,6.563981e-05
GPR87,6.563981e-05,6.563981e-05
PROS1,-6.54646e-05,6.54646e-05
RPL17-C18orf32,-6.503454e-05,6.503454e-05
CCDC170,6.493898e-05,6.493898e-05
DSG2,6.4572625e-05,6.4572625e-05
KHDRBS2,6.44452e-05,6.44452e-05
MS4A15,6.431778e-05,6.431778e-05
PAGE2,6.425406e-05,6.425406e-05
CLEC1A,6.396736e-05,6.396736e-05
SMPDL3B,-6.388772e-05,6.388772e-05
CYP27C1,-6.376029e-05,6.376029e-05
CDR1,6.372843e-05,6.372843e-05
RHPN2,6.3712505e-05,6.3712505e-05
MMRN2,6.3616935e-05,6.3616935e-05
PLXDC2,6.334616e-05,6.334616e-05
KLK11,6.321874e-05,6.321874e-05
IGLV1-50,-6.312317e-05,6.312317e-05
NTM,6.296389e-05,6.296389e-05
AFAP1L1,6.2884246e-05,6.2884246e-05
TNFRSF17,6.286832e-05,6.286832e-05
FRMD3,6.275682e-05,6.275682e-05
PNMA3,6.262939e-05,6.262939e-05
FNDC1,6.2183404e-05,6.2183404e-05
KAZALD1,-6.20082e-05,6.20082e-05
ORM2,6.1976345e-05,6.1976345e-05
ITPKC,6.192856e-05,6.192856e-05
HOXA9,6.183299e-05,6.183299e-05
KRT7-AS,-6.170556e-05,6.170556e-05
MSH5-SAPCD1,6.1594066e-05,6.1594066e-05
DZIP1L,6.143479e-05,6.143479e-05
LINC00393,-6.140293e-05,6.140293e-05
CFI,6.124365e-05,6.124365e-05
DOK6,6.117993e-05,6.117993e-05
TSPAN7,6.103658e-05,6.103658e-05
IGHV3OR16-13,-6.097287e-05,6.097287e-05
THRB,6.081359e-05,6.081359e-05
WNT2,6.078173e-05,6.078173e-05
CCL11,6.0765804e-05,6.0765804e-05
CETP,6.0765804e-05,6.0765804e-05
AIF1L,6.0733946e-05,6.0733946e-05
RHBDL1,6.0558737e-05,6.0558737e-05
P3H2,6.0510953e-05,6.0510953e-05
DPEP1,6.0272032e-05,6.0272032e-05
PRKCZ-AS1,6.0224247e-05,6.0224247e-05
DNM3,6.0192393e-05,6.0192393e-05
NANOG,6.0176462e-05,6.0176462e-05
SEMA6D,6.0160535e-05,6.0160535e-05
TNFSF18,6.011275e-05,6.011275e-05
LINC02288,5.9889757e-05,5.9889757e-05
HBD,-5.9810118e-05,5.9810118e-05
ANO1,5.9284488e-05,5.9284488e-05
DGKB,5.8822574e-05,5.8822574e-05
HSD11B2,5.8265086e-05,5.8265086e-05
TIE1,5.824916e-05,5.824916e-05
PALMD,5.824916e-05,5.824916e-05
HOXB8,5.810581e-05,5.810581e-05
ALDH1L2,5.7962454e-05,5.7962454e-05
SLC23A1,5.7882815e-05,5.7882815e-05
GJC2,-5.7755387e-05,5.7755387e-05
BRINP3,5.7596106e-05,5.7596106e-05
HPSE2,5.7436824e-05,5.7436824e-05
UPK3A,-5.7102334e-05,5.7102334e-05
ERICH3,5.7022695e-05,5.7022695e-05
CGREF1,5.6337783e-05,5.6337783e-05
FAM107A,-5.629e-05,5.629e-05
NR2F1,5.6226287e-05,5.6226287e-05
SLC13A2,-5.621036e-05,5.621036e-05
ESRRG,-5.6146648e-05,5.6146648e-05
C17orf50,5.5987366e-05,5.5987366e-05
GEMIN7-AS1,5.597144e-05,5.597144e-05
ITGB1-DT,5.560509e-05,5.560509e-05
AUNIP,-5.5589164e-05,5.5589164e-05
CDH26,-5.554138e-05,5.554138e-05
FAP,5.511132e-05,5.511132e-05
SPRY4,5.5047607e-05,5.5047607e-05
IGSF9B,5.503168e-05,5.503168e-05
VSIG2,-5.4967964e-05,5.4967964e-05
DOCK9-DT,-5.48724e-05,5.48724e-05
IDH1-AS1,5.474497e-05,5.474497e-05
WNK2,-5.468126e-05,5.468126e-05
HDAC11-AS1,5.4537908e-05,5.4537908e-05
IGKV1D-12,5.4490123e-05,5.4490123e-05
ABCC9,5.4458265e-05,5.4458265e-05
DCST1-AS1,5.4378626e-05,5.4378626e-05
MEFV,-5.433084e-05,5.433084e-05
LINC01242,-5.4219345e-05,5.4219345e-05
PCDHGA12,5.4203414e-05,5.4203414e-05
TMEM100,-5.4187487e-05,5.4187487e-05
SLC51A,-5.4044136e-05,5.4044136e-05
DDO,-5.398042e-05,5.398042e-05
TUBB2B,5.393264e-05,5.393264e-05
CD180,5.390078e-05,5.390078e-05
CD1A,5.350258e-05,5.350258e-05
ENSG00000285517,5.348665e-05,5.348665e-05
PLIN4,5.3422937e-05,5.3422937e-05
IGHV1OR15-3,5.340701e-05,5.340701e-05
SLC30A2,-5.3359225e-05,5.3359225e-05
LINC01503,5.3279586e-05,5.3279586e-05
HAS2,5.3247728e-05,5.3247728e-05
CCDC3,5.32318e-05,5.32318e-05
PPP4R1-AS1,-5.2769883e-05,5.2769883e-05
TCEANC,-5.2753956e-05,5.2753956e-05
PRR19,-5.2658386e-05,5.2658386e-05
FAM177B,-5.256282e-05,5.256282e-05
LINC01709,-5.22124e-05,5.22124e-05
SHPK,-5.2021263e-05,5.2021263e-05
LOXL4,-5.187791e-05,5.187791e-05
TIFAB,-5.187791e-05,5.187791e-05
SMOC2,-5.186198e-05,5.186198e-05
SNCAIP,-5.1814197e-05,5.1814197e-05
TREX2,-5.1750485e-05,5.1750485e-05
GPX3,5.1718627e-05,5.1718627e-05
ZNF716,-5.1686773e-05,5.1686773e-05
THAP10,5.1654915e-05,5.1654915e-05
AFDN-DT,5.1591203e-05,5.1591203e-05
PTPRD,-5.1559346e-05,5.1559346e-05
LINC02531,5.1304498e-05,5.1304498e-05
TRBV20OR9-2,5.127264e-05,5.127264e-05
PCOLCE-AS1,5.1224855e-05,5.1224855e-05
SPATA4,-5.1065574e-05,5.1065574e-05
DENND2C,-5.0810726e-05,5.0810726e-05
WDFY4,5.0794795e-05,5.0794795e-05
SOX2,-5.0715156e-05,5.0715156e-05
TRIM36,-5.0619587e-05,5.0619587e-05
CDA,-5.0444378e-05,5.0444378e-05
CTDSPL,-5.0396593e-05,5.0396593e-05
LINC01762,5.036474e-05,5.036474e-05
TGFB2,-5.0301023e-05,5.0301023e-05
MEF2C,5.0253242e-05,5.0253242e-05
AATBC,5.0189527e-05,5.0189527e-05
GPR84,5.0125815e-05,5.0125815e-05
DUSP6,-5.009396e-05,5.009396e-05
DNM1P35,-5.007803e-05,5.007803e-05
ZNF503-AS2,5.0046176e-05,5.0046176e-05
COL4A3,-4.9966533e-05,4.9966533e-05
TNN,-4.9918748e-05,4.9918748e-05
TOM1L1,-4.9886894e-05,4.9886894e-05
HOXA10,4.960019e-05,4.960019e-05
MSLN,4.9377195e-05,4.9377195e-05
TMEM236,-4.9361264e-05,4.9361264e-05
ZNF454,-4.932941e-05,4.932941e-05
ACOT6,-4.9281625e-05,4.9281625e-05
PNCK,4.9281625e-05,4.9281625e-05
IGLV8-61,-4.9249767e-05,4.9249767e-05
SEMA3E,4.9249767e-05,4.9249767e-05
SYT7,-4.9154198e-05,4.9154198e-05
ACBD7,4.913827e-05,4.913827e-05
PTK6,4.8883423e-05,4.8883423e-05
EMX2,4.8835638e-05,4.8835638e-05
FGFR2,-4.8835638e-05,4.8835638e-05
ANKRD6,4.8819707e-05,4.8819707e-05
ACADL,-4.8453363e-05,4.8453363e-05
ATP6V0D2,4.838965e-05,4.838965e-05
EPYC,-4.8150727e-05,4.8150727e-05
RAP1GAP,4.7656955e-05,4.7656955e-05
CT45A1,4.76251e-05,4.76251e-05
FLRT2,4.760917e-05,4.760917e-05
PCAT19,4.7577316e-05,4.7577316e-05
ADGRG2,4.7561385e-05,4.7561385e-05
PPFIA3,4.7513604e-05,4.7513604e-05
CSF3R,4.7481746e-05,4.7481746e-05
COX6A2,-4.746582e-05,4.746582e-05
TTLL7,4.7306537e-05,4.7306537e-05
PGBD5,4.709947e-05,4.709947e-05
C1orf220,-4.694019e-05,4.694019e-05
PLAC8L1,4.6908335e-05,4.6908335e-05
HBQ1,-4.6908335e-05,4.6908335e-05
IL3RA,4.6876477e-05,4.6876477e-05
GATA2,4.6589772e-05,4.6589772e-05
KRT5,-4.6462344e-05,4.6462344e-05
UGT1A6,4.617564e-05,4.617564e-05
MARK1,4.5952645e-05,4.5952645e-05
SLC38A4,4.592079e-05,4.592079e-05
LINC02207,-4.5857076e-05,4.5857076e-05
B4GALNT1,-4.574558e-05,4.574558e-05
PROX1,-4.5299592e-05,4.5299592e-05
EIF4E1B,-4.5283665e-05,4.5283665e-05
SMCO3,-4.514031e-05,4.514031e-05
TRAV21,-4.4885463e-05,4.4885463e-05
ERAS,-4.4773966e-05,4.4773966e-05
GPR153,4.4678396e-05,4.4678396e-05
KIF1A,-4.4614684e-05,4.4614684e-05
BHLHE22,4.4455403e-05,4.4455403e-05
PTOV1-AS1,4.4312048e-05,4.4312048e-05
WASF3,4.4009415e-05,4.4009415e-05
ARHGEF16,-4.389792e-05,4.389792e-05
OTOF,4.3881988e-05,4.3881988e-05
PLCD3,4.380235e-05,4.380235e-05
MAP3K10,-4.3690852e-05,4.3690852e-05
ADAMTS5,-4.353157e-05,4.353157e-05
TRBV6-8,-4.3515643e-05,4.3515643e-05
DAGLA,-4.3436e-05,4.3436e-05
AUTS2,4.3228938e-05,4.3228938e-05
NUTM2A,-4.3181153e-05,4.3181153e-05
KDM4D,-4.3165222e-05,4.3165222e-05
MITF,-4.30378e-05,4.30378e-05
LINC00472,4.2990014e-05,4.2990014e-05
FGD5,-4.2719235e-05,4.2719235e-05
LPIN3,4.267145e-05,4.267145e-05
TMEM61,4.251217e-05,4.251217e-05
GNAT3,4.2289175e-05,4.2289175e-05
NYNRIN,-4.227325e-05,4.227325e-05
DNAAF3,4.2113967e-05,4.2113967e-05
PKP1,4.2018397e-05,4.2018397e-05
ADAM33,-4.200247e-05,4.200247e-05
MKRN3,4.1986543e-05,4.1986543e-05
SMIM10L2A,4.19069e-05,4.19069e-05
ACTN2,4.184319e-05,4.184319e-05
VSTM2L,4.1683907e-05,4.1683907e-05
MIR181A2HG,-4.158834e-05,4.158834e-05
SYT6,-4.157241e-05,4.157241e-05
NLRP12,4.1508698e-05,4.1508698e-05
UFL1-AS1,4.142906e-05,4.142906e-05
ARG1,4.123792e-05,4.123792e-05
MAP1LC3C,4.1206065e-05,4.1206065e-05
THSD1,4.1030853e-05,4.1030853e-05
SLIT3,4.1030853e-05,4.1030853e-05
FAM229B,-4.1014926e-05,4.1014926e-05
LINC01140,4.0919356e-05,4.0919356e-05
TRBV3-1,4.0887502e-05,4.0887502e-05
IGIP,-4.0855644e-05,4.0855644e-05
IGKV3D-20,-4.0776005e-05,4.0776005e-05
PHGR1,4.072822e-05,4.072822e-05
HOXB9,4.0584866e-05,4.0584866e-05
KLF1,-4.053708e-05,4.053708e-05
SEMA6B,-4.029816e-05,4.029816e-05
WNT5B,-4.023445e-05,4.023445e-05
SLC2A5,4.0186664e-05,4.0186664e-05
SDS,4.013888e-05,4.013888e-05
IGKV1D-16,3.9931812e-05,3.9931812e-05
SNCB,3.9915885e-05,3.9915885e-05
DCD,-3.988403e-05,3.988403e-05
KNDC1,3.9676965e-05,3.9676965e-05
FUT1,-3.9661038e-05,3.9661038e-05
GALNT16,-3.962918e-05,3.962918e-05
LINC01506,3.9406186e-05,3.9406186e-05
KMO,-3.9406186e-05,3.9406186e-05
EGFLAM,-3.9342474e-05,3.9342474e-05
APOC3,-3.9310617e-05,3.9310617e-05
RASSF10,-3.9246905e-05,3.9246905e-05
CSTA,3.9246905e-05,3.9246905e-05
