gene,drift_velocity,abs_drift,is_death_gene,is_birth_gene
ANKRD2,0.00015690396,0.00015690396,False,False
THSD1,0.00015690396,0.00015690396,False,False
GPM6B,-0.00015661382,0.00015661382,False,False
ZCCHC24,-0.00015643249,0.00015643249,False,False
PRSS23,-0.00015635997,0.00015635997,False,False
ST8SIA6-AS1,0.0001562693,0.0001562693,False,False
MATN2,0.00015623303,0.00015623303,False,False
CACNA1D,-0.00015585225,0.00015585225,False,False
ARHGAP42,0.00015552585,0.00015552585,False,False
TRAV40,0.00015523573,0.00015523573,False,False
PRKD1,0.00015490933,0.00015490933,False,False
ZNF214,-0.00015452855,0.00015452855,False,False
LRRN1,0.00015418402,0.00015418402,False,False
LINC02397,0.00015412962,0.00015412962,False,False
STAB1,0.0001538939,0.0001538939,False,False
LINC02531,0.00015385763,0.00015385763,False,False
CHRM3,0.00015374883,0.00015374883,False,False
CD300LF,-0.00015333177,0.00015333177,False,False
CLEC1A,0.00015331364,0.00015331364,False,False
TSC22D1-AS1,-0.00015293284,0.00015293284,False,False
TRAV39,0.00015278779,0.00015278779,False,False
VSIG4,-0.00015262459,0.00015262459,False,False
CYP2E1,-0.00015258833,0.00015258833,False,False
MME,-0.0001525702,0.0001525702,False,False
WLS,-0.0001523526,0.0001523526,False,False
CCL8,0.00015206246,0.00015206246,False,False
IGDCC4,-0.00015198994,0.00015198994,False,False
NTM,-0.000151863,0.000151863,False,False
ALDH1L2,-0.00015171795,0.00015171795,False,False
THSD7A,-0.00015135529,0.00015135529,False,False
GNA11,0.0001504849,0.0001504849,False,False
PDE1A,0.00015046677,0.00015046677,False,False
TNFRSF19,-0.00015044864,0.00015044864,False,False
CCL20,-0.00015043051,0.00015043051,False,False
SHROOM1,-0.00015043051,0.00015043051,False,False
STON2,-0.00015021292,0.00015021292,False,False
KCTD16,0.00015014039,0.00015014039,False,False
BANK1,0.00014988652,0.00014988652,False,False
CCDC24,-0.00014974146,0.00014974146,False,False
EGFL6,0.0001497052,0.0001497052,False,False
WASF3,0.00014965079,0.00014965079,False,False
HDC,0.00014946946,0.00014946946,False,False
THY1,-0.00014939693,0.00014939693,False,False
ADCYAP1R1,0.00014936067,0.00014936067,False,False
LYPD2,0.00014934254,0.00014934254,False,False
SMPDL3B,-0.0001493244,0.0001493244,False,False
MAFB,-0.00014917934,0.00014917934,False,False
IGLV5-37,-0.00014912494,0.00014912494,False,False
FSIP2,0.00014908868,0.00014908868,False,False
CHRNA10,-0.00014894361,0.00014894361,False,False
S1PR5,-0.00014885295,0.00014885295,False,False
METTL24,-0.00014863536,0.00014863536,False,False
LRRC26,-0.00014859908,0.00014859908,False,False
ANGPTL1,0.00014849029,0.00014849029,False,False
CARD10,0.00014847216,0.00014847216,False,False
PNLDC1,0.0001484359,0.0001484359,False,False
CHAD,-0.00014830896,0.00014830896,False,False
CETP,0.00014823643,0.00014823643,False,False
HOXD1,0.0001482183,0.0001482183,False,False
FMO2,-0.00014820017,0.00014820017,False,False
MYT1,-0.00014798257,0.00014798257,False,False
RHOJ,0.00014758365,0.00014758365,False,False
HMCN1,0.0001475111,0.0001475111,False,False
ANPEP,0.00014696713,0.00014696713,False,False
SEMA3E,0.0001468946,0.0001468946,False,False
GYG2,0.00014687647,0.00014687647,False,False
FOLR2,-0.0001465138,0.0001465138,False,False
ARMCX1,-0.00014631434,0.00014631434,False,False
LINC01956,0.00014586102,0.00014586102,False,False
MIR181A2HG,0.00014560716,0.00014560716,False,False
COX4I2,-0.0001454621,0.0001454621,False,False
LINC02303,-0.00014431973,0.00014431973,False,False
FNIP2,0.0001440296,0.0001440296,False,False
CRISP3,-0.00014383014,0.00014383014,False,False
CPB1,0.00014368507,0.00014368507,False,False
FGF22,-0.00014348561,0.00014348561,False,False
SGCE,0.00014328615,0.00014328615,False,False
PHGR1,-0.00014319549,0.00014319549,False,False
IL22RA1,-0.00014272403,0.00014272403,False,False
TRBV7-5,0.00014268776,0.00014268776,False,False
ARHGAP24,0.0001425971,0.0001425971,False,False
ARHGEF10L,0.00014228885,0.00014228885,False,False
MMP10,-0.00014219817,0.00014219817,False,False
GPBAR1,0.0001420531,0.0001420531,False,False
PDE3A,0.00014198058,0.00014198058,False,False
TMEM98,-0.00014159978,0.00014159978,False,False
PRKCZ-AS1,-0.00014152726,0.00014152726,False,False
RAB40AL,0.000141491,0.000141491,False,False
ANKRD65,-0.0001414366,0.0001414366,False,False
IGLV4-60,-0.00014140032,0.00014140032,False,False
TNFRSF17,0.00014056622,0.00014056622,False,False
POU2F3,0.00014042115,0.00014042115,False,False
PNOC,0.00014016729,0.00014016729,False,False
ABCA10,-0.00013976837,0.00013976837,False,False
ZNF385C,0.00013936944,0.00013936944,False,False
HES4,0.00013911558,0.00013911558,False,False
SLFNL1,0.00013906119,0.00013906119,False,False
FLRT3,0.00013889799,0.00013889799,False,False
CASC15,-0.00013884359,0.00013884359,False,False
NAV2,-0.00013882546,0.00013882546,False,False
SGIP1,0.00013833586,0.00013833586,False,False
LRRK1,-0.00013799134,0.00013799134,False,False
GP2,0.00013795508,0.00013795508,False,False
PREX2,0.00013795508,0.00013795508,False,False
CRYBB1,0.00013744735,0.00013744735,False,False
PAX1,0.00013733856,0.00013733856,False,False
ZNF454,0.00013715723,0.00013715723,False,False
PTGFRN,-0.00013712097,0.00013712097,False,False
KANK1,-0.00013683083,0.00013683083,False,False
TAF1L,-0.00013652258,0.00013652258,False,False
NPR3,-0.00013621432,0.00013621432,False,False
TCL1A,0.00013610552,0.00013610552,False,False
IGHV3-22,0.00013563407,0.00013563407,False,False
