gene,drift_velocity,abs_drift,is_death_gene,is_birth_gene
CYP27C1,6.732819e-05,6.732819e-05,False,False
THRB,6.731226e-05,6.731226e-05,False,False
SIGLEC6,6.69937e-05,6.69937e-05,False,False
PRRG1,-6.689813e-05,6.689813e-05,False,False
CCL7,6.6770706e-05,6.6770706e-05,False,False
BHLHE22,-6.675478e-05,6.675478e-05,False,False
PEX5L,6.6627355e-05,6.6627355e-05,False,False
TMEM61,6.661143e-05,6.661143e-05,False,False
RNF43,-6.6484004e-05,6.6484004e-05,False,False
COBL,-6.6484004e-05,6.6484004e-05,False,False
MFAP3L,6.6388435e-05,6.6388435e-05,False,False
CLEC4D,-6.626101e-05,6.626101e-05,False,False
TLR10,-6.59743e-05,6.59743e-05,False,False
CNN3,-6.5958375e-05,6.5958375e-05,False,False
LCN6,6.5910586e-05,6.5910586e-05,False,False
PTPRN,6.5862805e-05,6.5862805e-05,False,False
IQANK1,6.5815024e-05,6.5815024e-05,False,False
COL16A1,6.5719454e-05,6.5719454e-05,False,False
GALNT16,6.554424e-05,6.554424e-05,False,False
CYP4F8,6.549646e-05,6.549646e-05,False,False
SLC4A3,-6.5384964e-05,6.5384964e-05,False,False
ITIH3,6.53531e-05,6.53531e-05,False,False
PCOLCE2,6.525753e-05,6.525753e-05,False,False
SERPINE1,-6.520975e-05,6.520975e-05,False,False
CR2,-6.5193824e-05,6.5193824e-05,False,False
NPR3,6.508233e-05,6.508233e-05,False,False
LINC01117,6.489119e-05,6.489119e-05,False,False
POLR3G,6.489119e-05,6.489119e-05,False,False
ADD2,-6.487526e-05,6.487526e-05,False,False
RNASE1,6.4811546e-05,6.4811546e-05,False,False
MPP4,-6.474784e-05,6.474784e-05,False,False
HOXB3,-6.460448e-05,6.460448e-05,False,False
SLC22A3,-6.417443e-05,6.417443e-05,False,False
EGR4,6.4094784e-05,6.4094784e-05,False,False
SAMD4A,-6.350544e-05,6.350544e-05,False,False
MARVELD1,6.336209e-05,6.336209e-05,False,False
LTK,6.336209e-05,6.336209e-05,False,False
TTC39A-AS1,6.334616e-05,6.334616e-05,False,False
GNAT3,6.333023e-05,6.333023e-05,False,False
OR51E2,-6.30276e-05,6.30276e-05,False,False
DAGLA,-6.275682e-05,6.275682e-05,False,False
HAS2,-6.272496e-05,6.272496e-05,False,False
DTNA,6.262939e-05,6.262939e-05,False,False
PCDH7,6.205598e-05,6.205598e-05,False,False
RHOJ,6.204005e-05,6.204005e-05,False,False
SLC30A2,6.20082e-05,6.20082e-05,False,False
GLT8D2,-6.1976345e-05,6.1976345e-05,False,False
SRPK3,6.196041e-05,6.196041e-05,False,False
MS4A15,6.194448e-05,6.194448e-05,False,False
CFAP61,6.191263e-05,6.191263e-05,False,False
IGLON5,6.170556e-05,6.170556e-05,False,False
ECM1,6.1689636e-05,6.1689636e-05,False,False
TRIM2,6.14985e-05,6.14985e-05,False,False
MS4A14,6.133922e-05,6.133922e-05,False,False
MTCL1,-6.124365e-05,6.124365e-05,False,False
PHKG1,6.0988797e-05,6.0988797e-05,False,False
MMP16,-6.090916e-05,6.090916e-05,False,False
SPOCD1,6.081359e-05,6.081359e-05,False,False
ZNF727,6.078173e-05,6.078173e-05,False,False
COL25A1,6.0654307e-05,6.0654307e-05,False,False
BRICD5,6.044724e-05,6.044724e-05,False,False
CFAP74,-6.038353e-05,6.038353e-05,False,False
CD300LF,6.0224247e-05,6.0224247e-05,False,False
STMN2,-6.011275e-05,6.011275e-05,False,False
CFAP99,-6.0080896e-05,6.0080896e-05,False,False
TFAP2C,-6.0001254e-05,6.0001254e-05,False,False
TDRP,-5.99694e-05,5.99694e-05,False,False
ZNF860,-5.9921615e-05,5.9921615e-05,False,False
KCNMB1,5.9826045e-05,5.9826045e-05,False,False
CCBE1,5.9810118e-05,5.9810118e-05,False,False
ACBD7,-5.9411912e-05,5.9411912e-05,False,False
HNMT,5.920485e-05,5.920485e-05,False,False
LINC01638,-5.9029637e-05,5.9029637e-05,False,False
WFDC1,-5.874293e-05,5.874293e-05,False,False
NUDT10,5.8488084e-05,5.8488084e-05,False,False
SPTB,-5.8360656e-05,5.8360656e-05,False,False
TMEM8B,5.831287e-05,5.831287e-05,False,False
RBP4,5.8265086e-05,5.8265086e-05,False,False
C7,5.8217305e-05,5.8217305e-05,False,False
SLC13A2,5.8137663e-05,5.8137663e-05,False,False
HAND2,-5.8026166e-05,5.8026166e-05,False,False
PALMD,-5.7930596e-05,5.7930596e-05,False,False
B4GALT2,-5.7771314e-05,5.7771314e-05,False,False
PLA1A,5.773946e-05,5.773946e-05,False,False
ABI3BP,-5.7691675e-05,5.7691675e-05,False,False
IGFN1,-5.7627964e-05,5.7627964e-05,False,False
IGHV3-22,5.7596106e-05,5.7596106e-05,False,False
CLGN,-5.758018e-05,5.758018e-05,False,False
SLCO4A1-AS1,-5.705455e-05,5.705455e-05,False,False
SPNS2,5.697491e-05,5.697491e-05,False,False
VGF,5.6911198e-05,5.6911198e-05,False,False
LAMA5-AS1,5.6592635e-05,5.6592635e-05,False,False
TNMD,5.638557e-05,5.638557e-05,False,False
S100A7A,5.627407e-05,5.627407e-05,False,False
ADAMTS7,-5.6067005e-05,5.6067005e-05,False,False
FGF22,-5.603515e-05,5.603515e-05,False,False
SV2B,5.5987366e-05,5.5987366e-05,False,False
LYPD1,-5.595551e-05,5.595551e-05,False,False
NNAT,5.563695e-05,5.563695e-05,False,False
DNASE1L3,5.5318385e-05,5.5318385e-05,False,False
UGGT2,-5.511132e-05,5.511132e-05,False,False
FNIP2,-5.4856468e-05,5.4856468e-05,False,False
AFDN-DT,5.4474192e-05,5.4474192e-05,False,False
GAREM1,-5.434677e-05,5.434677e-05,False,False
CA1,-5.4283057e-05,5.4283057e-05,False,False
GDNF,5.4155633e-05,5.4155633e-05,False,False
SH2D4A,-5.4107848e-05,5.4107848e-05,False,False
GAS1RR,5.4060063e-05,5.4060063e-05,False,False
SAP30L-AS1,-5.348665e-05,5.348665e-05,False,False
SIX5,5.340701e-05,5.340701e-05,False,False
FMN2,-5.3343298e-05,5.3343298e-05,False,False
GJB5,5.321587e-05,5.321587e-05,False,False
C2orf50,5.315216e-05,5.315216e-05,False,False
GATA3-AS1,5.2992877e-05,5.2992877e-05,False,False
CFAP69,-5.2865453e-05,5.2865453e-05,False,False
HSPB8,-5.280174e-05,5.280174e-05,False,False
GASAL1,-5.264246e-05,5.264246e-05,False,False
PLAC8L1,5.2626532e-05,5.2626532e-05,False,False
LRRN4CL,-5.26106e-05,5.26106e-05,False,False
RAET1E,-5.2244257e-05,5.2244257e-05,False,False
BCAR1,-5.197348e-05,5.197348e-05,False,False
C8G,-5.187791e-05,5.187791e-05,False,False
DYDC2,5.17027e-05,5.17027e-05,False,False
CKMT1B,-5.1559346e-05,5.1559346e-05,False,False
HUNK,5.1336352e-05,5.1336352e-05,False,False
RAP1GAP,-5.117707e-05,5.117707e-05,False,False
IGHV1-14,5.1161143e-05,5.1161143e-05,False,False
CLMP,5.093815e-05,5.093815e-05,False,False
NDUFA4L2,5.0906292e-05,5.0906292e-05,False,False
HLX,5.0794795e-05,5.0794795e-05,False,False
DHRS9,5.0794795e-05,5.0794795e-05,False,False
LMF1-AS1,5.0715156e-05,5.0715156e-05,False,False
EBF3,5.0587732e-05,5.0587732e-05,False,False
SPRR1B,5.0539948e-05,5.0539948e-05,False,False
CREB5,5.0524017e-05,5.0524017e-05,False,False
GDPD2,5.042845e-05,5.042845e-05,False,False
AP3B2,5.036474e-05,5.036474e-05,False,False
